ProjectNumber,ProjectName,ProjectType,CurrentStatus,ProgramName,MetricCategory,MetricDetail1,MetricDetail2,MetricDetail3,ProposedAnswer,FinalAnswer,UnitTypeName,Action_MetricLevel,ActionSummary_MetricLevel
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.07,0.07,Miles,In-stream Installation,Habitat
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.07,0.07,Miles,,
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
11-1642,Five Mile Creek LWD Placement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,21,21,Yards,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.23,0.23,Miles,,
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.2,0.2,Acres,,
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,20,20,Number,Monitoring,Assessment
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Architectural & Engineering,Architectural & Engineering (A&E),Percent architectural & engineering,,0.00,12.00,Percent,Miscellaneous,Planning
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.23,0.12,Miles,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,35,35,Number,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,5,6,Number,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.2,0.2,Acres,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,3,3,Number,Permit,Planning
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,0.2,Acres,Riparian,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,0,0,Yards,In-stream Installation,Habitat
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.23,0.12,Miles,,
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.23,0.23,Miles,Streambank Stablized,Summary Metric
11-1470,Gorst Creek Habitat Enhancement,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,3.80,0.00,Number,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Site Stewardship Project,Restored land maintained (C.11.c.1),Acres of restored land maintained (C.11.c.2),,2.2,1.9,Acres,Stewardship,Human
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Riparian Habitat Project,Riparian Plant removal / control (C.5.h.1),Acres of riparian treated for plant removal/control (C.5.h.3),,0.7,0.9,Acres,Remove Plants Invasive,Waste
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,320,Number,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.25,0.00,Miles,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.7,0.9,Acres,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,General restoration activities,Implementation monitoring,Number of site visits,,10,22,Number,Monitoring,Assessment
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,General restoration activities,Restoration signs,Number of signs installed,,1,1,Number,Infrastructure,Human
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Architectural & Engineering,Architectural & Engineering (A&E),Percent architectural & engineering,,0.00,0.20,Percent,Miscellaneous,Planning
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Miles of Shoreline Treated for armor modification/removal (C.9.k.2),,0.25,0.29,Miles,Remove Armor,Shoreline Restoration
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Total Amount Of Estuarine / Nearshore Acres Treated (C.9.b),,,2.2,1.9,Acres,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Fish Screening Project,Fish screens installed (C.1.c.1),Number Of Fish Screens Installed (C.1.c.2),,1,1,Number,Livestock Gates,Exclusion
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Fish Screening Project,Quantity Of Water Protected By Screens (acre feet per year) (C.1.b),,,300,300,Acre-Feet per Year,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Fish Screening Project,Fish screens installed (C.1.c.1),The Flow Rate Of Screened Water (C.1.c.3),,300.00,300.00,Cu Feet per Sec,Structure Installation,Fish Passage
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Cultural resource work completed,,0,138,Number,Cultural,Human
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Shoreline armor removal or modification (C.9.k.1),Acres of Shoreline Treated for armor modification/removal (C.9.k.3),,2.2,0.2,Acres,Remove Armor,Shoreline Restoration
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Debris removal (C.9.n.1),Acres Treated for debris removal (C.9.n.2),,0.7,0.2,Acres,Debris,Waste
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Estuarine / Nearshore Project,Removal of existing fill material (C.9.g.1),Acres of Estuary Treated through fill material removal (C.9.g.2),,0.2,0.5,Acres,Fill,Habitat
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.70,1.90,Acres,Cultural,Human
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,5,3,Number,Permit,Planning
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,1.40,0.00,Number,,
11-1505,Powel Shoreline Restoration Implementation,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.7,0.9,Acres,Riparian,Habitat
11-1484,Mason Conservation District Lead Entity,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1484,Mason Conservation District Lead Entity,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,1.50,0.00,Number,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Acres of Upland Habitat Area Treated (C.6.b.1),,,0.0,0.0,Acres,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,0.0,0.0,Acres,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.00,0.00,Miles,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Slope stabilization (C.6.g.1),Acres Treated for Slope Stabilization (C.6.g.2),,0.0,0.0,Acres,Slope,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Upland Habitat And Sediment Project,Miles of Road Treated (C.6.b.2),,,0.00,0.00,Miles,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Off-Channel Stream Created (C.4.c.4),,0.00,0.06,Miles,Channel Connectivity,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Number of structures placed in channel (C.4.d.7),,2,4,Number,In-stream Installation,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Instream Pools Created/Added (C.4.c.6),,0,2,Number,Channel Connectivity,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Miles of Stream Treated for channel structure placement (C.4.d.3),,0.06,0.06,Miles,In-stream Installation,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Architectural & Engineering,Architectural & Engineering (A&E),Percent architectural & engineering,,0.00,23.00,Percent,Miscellaneous,Planning
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,0.00,0.00,Acres,Cultural,Human
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Miles of Stream Treated for channel reconfiguration and connectivity (C.4.c.3),,0.00,0.09,Miles,Channel Connectivity,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Pools Created through channel structure placement (C.4.d.5),,2,2,Number,In-stream Installation,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Acres Of Streambed Treated for channel structure placement (C.4.d.4),,0.1,0.1,Acres,In-stream Installation,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel reconfiguration and connectivity (C.4.c.1),Acres Of Channel/Off-Channel Connected Or Added (C.4.c.5),,0.0,0.1,Acres,Channel Connectivity,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Permits,Obtain permits,Number of permits required for implementation of project,,2,2,Number,Permit,Planning
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.50,0.00,Number,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Streambank stabilization (C.4.e.1),Miles of Streambank Stabilized (C.4.e.3),,0.03,0.03,Miles,Streambank Stablized,Summary Metric
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Channel structure placement (C.4.d.1),Yards Of Average Stream-Width At Mid-Point Of Worksite (C.4.d.6),,16,10,Yards,In-stream Installation,Habitat
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Instream Habitat Project,Total Miles Of Instream Habitat Treated (C.4.b),,,0.06,0.09,Miles,,
11-1543,Middle Goldsborough In-stream Habitat Projects,R,Closed Comp,PSAR,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,0.0,0.0,Acres,Riparian,Habitat
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Incidentals,Stewardship plan,Acres included in the stewardship plan,,185.00,155.00,Acres,Stewardship,Human
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Incidentals,Survey (Acq),Acres surveyed,,185.00,45.00,Acres,Survey,Assessment
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Miles Of Streambank Protected By Land or Easement Acquisition,,,2.45,2.13,Miles,,
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,57.00,7.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,27.00,25.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres zoned as agricultural land,,0.00,0.00,Acres,Land Acquisition Ag,Acquisition
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Project Acres Acquired,,,235.00,155.00,Acres,,
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Project Acquisition,Project acres by purpose type,,,185.00,0.00,Acres,,
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Real Property Acquisition,Land,Acres by Acreage Type (fee simple),,151.00,123.00,Acres,Land Acquisition Fee Simple,Acquisition
11-1554,Upper Goldsborough Habitat Acquisition Phase 2,A,Closed Comp,PSAR,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Miles Streambank Treated (C.5.b.1),,,0.41,1.65,Miles,,
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Total Riparian Acres Treated (C.5.b.2),,,2.2,21.8,Acres,,
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Salmonid Habitat Assessment / Inventory,Habitat surveys (B.2.d),Amount Of Habitat Assessed That Needed Restoration (B.2.d.3),,6274.1,13680.2,Acres,Survey,Assessment
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Salmonid Habitat Assessment / Inventory,Habitat surveys (B.2.d),Acres of habitat assessed (B.2.d.2),,17755.8,36491.9,Acres,Survey,Assessment
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Planting (C.5.c.1),Acres Planted in riparian (C.5.c.3),,2.2,21.8,Acres,Riparian,Habitat
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Riparian Habitat Project,Planting (C.5.c.1),Miles of streambank planted (C.5.c.4),,0.00,1.65,Miles,Riparian,Habitat
11-1557,Riparian Assessment and Restoration in WRIA 14,P,Closed Comp,SALMON FED PROJ,Jobs Created,Number of jobs created by this project,,,3.00,0.00,Number,,
11-1485,West Sound Watersheds Council Lead Entity,P,Closed Comp,SALMON-LE FED,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
11-1485,West Sound Watersheds Council Lead Entity,P,Closed Comp,SALMON-LE FED,Jobs Created,Number of jobs created by this project,,,1.00,0.00,Number,,
13-1558,Kilisut Harbor Restoration Design,P,Active,ESRP,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
13-1558,Kilisut Harbor Restoration Design,P,Active,ESRP,Cultural Resources,Cultural resources,Acres surveyed for cultural resources,,17.00,0.00,Acres,Cultural,Human
13-1558,Kilisut Harbor Restoration Design,P,Active,ESRP,Jobs Created,Number of jobs created by this project,,,0.00,0.00,Number,,
12-1422,Divide Block Kitsap Forest and Bay- Grovers Creek,A,Active,WWRP - RPA - RP,Sponsor Match: Donated Un-paid Labor (volunteers),Number of hours volunteers contributed to the project (A.13.a.1),,,0,0,Number,,
12-1422,Divide Block Kitsap Forest and Bay- Grovers Creek,A,Active,WWRP - RPA - RP,Incidentals,Stewardship plan,Acres included in the stewardship plan,,338.30,229.10,Acres,Stewardship,Human
12-1422,Divide Block Kitsap Forest and Bay- Grovers Creek,A,Active,WWRP - RPA - RP,Incidentals,Signs (Acq),Number of permanent signs that identify site and funding partners,,11,1,Number,Incidentals,Unspecified
